"","Timestamp","Participant_ID","Gender","Nationality","Age","Food","Juice","Dessert"
"1",2019-05-07,"FPS001","Male","Indian",24,"Traditional food","Fresh juice","Maybe"
"2",2019-05-07,"FPS002","Female","Indian",22,"Western food","Carbonated drinks","Yes"
"3",2019-05-07,"FPS003","Male","Indian",31,"Western food","Fresh juice","Maybe"
"4",2019-05-07,"FPS004","Female","Indian",25,"Traditional food","Fresh juice","Maybe"
"5",2019-05-07,"FPS005","Male","Indian",27,"Traditional food","Fresh juice","Maybe"
"6",2019-05-07,"FPS006","Male","Indian",24,"Traditional food","Fresh juice","Yes"
"7",2019-05-07,"FPS007","Female","Indian",34,"Traditional food","Fresh juice","Yes"
"8",2019-05-07,"FPS008","Male","Pakistani",24,"Western food","Carbonated drinks","Yes"
"9",2019-05-07,"FPS009","Female","Indian",19,"Traditional food","Fresh juice","Yes"
"10",2019-05-07,"FPS010","Female","Indian",16,"Western food","Fresh juice","Yes"
"11",2019-05-07,"FPS011","Male","Tanzanian",23,"Traditional food","Fresh juice","No"
"12",2019-05-07,"FPS012","Female","Indian",22,"Traditional food","Fresh juice","Yes"
"13",2019-05-07,"FPS013","Female","Indonesian",22,"Traditional food","Fresh juice","Maybe"
"14",2019-05-07,"FPS014","Female","Indian",24,"Western food","Carbonated drinks","Yes"
"16",2019-05-07,"FPS016","Male","Pakistani",25,"Traditional food","Fresh juice","Maybe"
"17",2019-05-07,"FPS017","Male","Maldivian",26,"Traditional food","Fresh juice","No"
"18",2019-05-07,"FPS018","Male","Malaysian",22,"Traditional food","Fresh juice","No"
"19",2019-05-07,"FPS019","Female","Malaysian",38,"Traditional food","Fresh juice","Maybe"
"20",2019-05-07,"FPS020","Female","Indian",31,"Traditional food","Fresh juice","Maybe"
"21",2019-05-07,"FPS021","Male","Malaysian",21,"Traditional food","Carbonated drinks","Maybe"
"22",2019-05-07,"FPS022","Male","Indonesian",20,"Traditional food","Fresh juice","Maybe"
"23",2019-05-07,"FPS023","Male","Malaysian",20,"Western food","Fresh juice","Maybe"
"24",2019-05-07,"FPS024","Male","Malaysian",22,"Western food","Fresh juice","Yes"
"25",2019-05-07,"FPS025","Male","Malaysian",20,"Traditional food","Fresh juice","Yes"
"26",2019-05-07,"FPS026","Female","Indonesian",24,"Traditional food","Fresh juice","Yes"
"27",2019-05-07,"FPS027","Male","Indian",43,"Traditional food","Fresh juice","Maybe"
"28",2019-05-07,"FPS028","Female","Maldivian",29,"Western food","Fresh juice","Yes"
"29",2019-05-07,"FPS029","Male","Indian",39,"Traditional food","Fresh juice","Yes"
"30",2019-05-07,"FPS030","Male","Indian",26,"Traditional food","Fresh juice","Yes"
"31",2019-05-07,"FPS031","Male","Malaysian",21,"Traditional food","Carbonated drinks","Maybe"
"32",2019-05-07,"FPS032","Female","Malaysian",40,"Western food","Fresh juice","Yes"
"33",2019-05-07,"FPS033","Male","Indian",13,"Western food","Fresh juice","Maybe"
"34",2019-05-07,"FPS034","Male","Indian",13,"Western food","Fresh juice","Maybe"
"35",2019-05-07,"FPS035","Male","Indian",13,"Western food","Fresh juice","Maybe"
"36",2019-05-07,"FPS036","Male","Malaysian",24,"Western food","Fresh juice","Yes"
"37",2019-05-07,"FPS037","Male","Indian",13,"Western food","Fresh juice","Maybe"
"38",2019-05-07,"FPS038","Male","Indian",24,"Traditional food","Fresh juice","Yes"
"39",2019-05-07,"FPS039","Male","Malaysian",21,"Traditional food","Fresh juice","Maybe"
"40",2019-05-07,"FPS040","Female","Indian",34,"Traditional food","Fresh juice","Maybe"
"41",2019-05-07,"FPS041","Female","Pakistani",18,"Traditional food","Fresh juice","Maybe"
"42",2019-05-07,"FPS042","Male","Pakistani",26,"Traditional food","Fresh juice","Yes"
"43",2019-05-07,"FPS043","Male","Canadian",24,"Western food","Fresh juice","Yes"
"44",2019-05-07,"FPS044","Male","Pakistani",60,"Traditional food","Carbonated drinks","Yes"
"45",2019-05-07,"FPS045","Male","Malaysian",21,"Western food","Fresh juice","Yes"
"46",2019-05-07,"FPS046","Female","Nigerian",21,"Traditional food","Fresh juice","Yes"
"47",2019-05-07,"FPS047","Male","Pakistani",24,"Western food","Fresh juice","Yes"
"48",2019-05-07,"FPS048","Male","Indian",25,"Western food","Fresh juice","Yes"
"49",2019-05-07,"FPS049","Male","Indian",23,"Traditional food","Fresh juice","Maybe"
"50",2019-05-07,"FPS050","Female","Algerian",25,"Traditional food","Fresh juice","Yes"
"51",2019-05-07,"FPS051","Female","Indian",22,"Traditional food","Fresh juice","Maybe"
"52",2019-05-07,"FPS052","Male","Korean",27,"Western food","Fresh juice","No"
"53",2019-05-07,"FPS053","Male","Indian",26,"Traditional food","Fresh juice","No"
"54",2019-05-07,"FPS054","Female","Indian",30,"Traditional food","Fresh juice","Yes"
"55",2019-05-07,"FPS055","Female","Indian",25,"Traditional food","Fresh juice","Maybe"
"56",2019-05-07,"FPS056","Male","Indian",23,"Western food","Carbonated drinks","Yes"
"57",2019-05-07,"FPS057","Female","Indian",25,"Traditional food","Fresh juice","Yes"
"58",2019-05-07,"FPS058","Male","Indian",21,"Traditional food","Fresh juice","Maybe"
"59",2019-05-07,"FPS059","Male","Indian",47,"Traditional food","Fresh juice","No"
"60",2019-05-07,"FPS060","Male","Indian",21,"Western food","Carbonated drinks","Maybe"
"61",2019-05-07,"FPS061","Female","Indian",25,"Traditional food","Fresh juice","Maybe"
"62",2019-05-07,"FPS062","Female","Indian",30,"Western food","Fresh juice","Maybe"
"63",2019-05-07,"FPS063","Female","Indian",54,"Traditional food","Carbonated drinks","Yes"
"64",2019-05-07,"FPS064","Male","Seychellois",23,"Traditional food","Carbonated drinks","Maybe"
"65",2019-05-07,"FPS065","Male","Indian",27,"Traditional food","Carbonated drinks","Maybe"
"66",2019-05-07,"FPS066","Male","Indian",74,"Traditional food","Fresh juice","Yes"
"67",2019-05-07,"FPS067","Female","Indian",27,"Traditional food","Fresh juice","Yes"
"68",2019-05-07,"FPS068","Male","Indonesian",19,"Traditional food","Fresh juice","Maybe"
"69",2019-05-07,"FPS069","Male","Indonesian",19,"Western food","Fresh juice","Yes"
"70",2019-05-07,"FPS070","Female","Indian",80,"Traditional food","Fresh juice","Yes"
"71",2019-05-07,"FPS071","Female","Indian",25,"Traditional food","Fresh juice","No"
"72",2019-05-07,"FPS072","Male","Indian",34,"Traditional food","Fresh juice","Maybe"
"73",2019-05-07,"FPS073","Female","Indonesian",19,"Traditional food","Fresh juice","Yes"
"74",2019-05-07,"FPS074","Female","Indian",80,"Traditional food","Fresh juice","Yes"
"75",2019-05-07,"FPS075","Female","Indian",33,"Traditional food","Carbonated drinks","Yes"
"76",2019-05-07,"FPS076","Male","Indian",33,"Traditional food","Fresh juice","Yes"
"77",2019-05-07,"FPS077","Female","Indian",40,"Traditional food","Fresh juice","Maybe"
"78",2019-05-07,"FPS078","Male","Malaysian",21,"Traditional food","Fresh juice","Yes"
"79",2019-05-07,"FPS079","Male","Indian",36,"Traditional food","Fresh juice","Yes"
"80",2019-05-07,"FPS080","Female","Indian",28,"Traditional food","Fresh juice","No"
"81",2019-05-07,"FPS081","Female","Indian",28,"Traditional food","Fresh juice","No"
"82",2019-05-07,"FPS082","Female","Malaysian",19,"Traditional food","Fresh juice","Yes"
"83",2019-05-07,"FPS083","Female","Indian",21,"Traditional food","Fresh juice","Yes"
"84",2019-05-07,"FPS084","Female","Indian",40,"Traditional food","Fresh juice","No"
"85",2019-05-07,"FPS085","Male","Japanese",28,"Traditional food","Fresh juice","Maybe"
"86",2019-05-07,"FPS086","Female","Indian",32,"Traditional food","Fresh juice","Maybe"
"87",2019-05-07,"FPS087","Female","Indian",38,"Traditional food","Fresh juice","Yes"
"88",2019-05-07,"FPS088","Female","Indian",36,"Traditional food","Fresh juice","No"
"89",2019-05-07,"FPS089","Female","Malaysian",30,"Traditional food","Fresh juice","Yes"
"90",2019-05-07,"FPS090","Male","Indonesian",19,"Traditional food","Fresh juice","Maybe"
"91",2019-05-07,"FPS091","Female","Indian",60,"Traditional food","Fresh juice","No"
"92",2019-05-07,"FPS092","Female","Malaysian",20,"Traditional food","Fresh juice","Yes"
"93",2019-05-07,"FPS093","Female","Indian",39,"Western food","Fresh juice","No"
"94",2019-05-07,"FPS094","Male","Indonesian",22,"Traditional food","Fresh juice","Maybe"
"95",2019-05-07,"FPS095","Female","Chinese",23,"Traditional food","Fresh juice","No"
"96",2019-05-07,"FPS096","Female","Indian",31,"Western food","Carbonated drinks","Yes"
"97",2019-05-07,"FPS097","Female","Indian",31,"Western food","Carbonated drinks","Maybe"
"98",2019-05-07,"FPS098","Female","Mauritian",23,"Traditional food","Fresh juice","Maybe"
"99",2019-05-07,"FPS099","Male","Indian",23,"Traditional food","Carbonated drinks","Yes"
"100",2019-05-07,"FPS100","Female","Japanese",34,"Western food","Fresh juice","Maybe"
"101",2019-05-07,"FPS101","Female","Indian",25,"Traditional food","Fresh juice","Maybe"
"102",2019-05-07,"FPS102","Male","Indian",38,"Traditional food","Fresh juice","Yes"
"103",2019-05-07,"FPS103","Male","Malaysian",19,"Traditional food","Fresh juice","Yes"
"104",2019-05-07,"FPS104","Female","Indian",19,"Western food","Fresh juice","Maybe"
"105",2019-05-07,"FPS105","Female","Indian",24,"Traditional food","Fresh juice","Yes"
"106",2019-05-07,"FPS106","Female","Indian",20,"Traditional food","Fresh juice","Yes"
"107",2019-05-07,"FPS107","Female","Indian",20,"Traditional food","Fresh juice","Yes"
"108",2019-05-07,"FPS108","Female","Indian",54,"Traditional food","Fresh juice","Yes"
"109",2019-05-07,"FPS109","Male","Indian",22,"Western food","Carbonated drinks","Yes"
"110",2019-05-07,"FPS110","Female","Indian",16,"Western food","Fresh juice","Yes"
"111",2019-05-07,"FPS111","Male","Indian",23,"Western food","Fresh juice","Yes"
"112",2019-05-07,"FPS112","Female","Indian",47,"Traditional food","Fresh juice","No"
"113",2019-05-07,"FPS113","Male","Indian",54,"Traditional food","Fresh juice","No"
"114",2019-05-07,"FPS114","Female","Indian",54,"Traditional food","Fresh juice","No"
"115",2019-05-07,"FPS115","Male","Yemeni",30,"Traditional food","Fresh juice","Yes"
"116",2019-05-07,"FPS116","Male","Indian",23,"Traditional food","Fresh juice","Yes"
"117",2019-05-07,"FPS117","Female","Indian",32,"Traditional food","Fresh juice","Maybe"
"118",2019-05-07,"FPS118","Female","Indian",29,"Traditional food","Fresh juice","Yes"
"119",2019-05-07,"FPS119","Female","Indian",8,"Traditional food","Fresh juice","No"
"120",2019-05-07,"FPS120","Female","Indian",26,"Traditional food","Fresh juice","Yes"
"121",2019-05-07,"FPS121","Female","Indian",27,"Traditional food","Fresh juice","Maybe"
"122",2019-05-07,"FPS122","Male","Indian",12,"Traditional food","Fresh juice","No"
"123",2019-05-07,"FPS123","Female","Indian",29,"Western food","Fresh juice","No"
